commGIS,ProvCap,Distance
40607,Kampong Chhnang,7.384059938
40301,Kampong Chhnang,3.029358567
40304,Kampong Chhnang,2.741491971
60112,Kampong Cham,46.57941899
110104,Mondulkiri,38.66552481
31508,Kratie,40.69482554
60115,Kampong Chhnang,33.57633643
40602,Kampong Chhnang,13.55114883
30206,Kampong Cham,38.439128
150405,Pursat,54.95917927
30203,Kampong Cham,36.22544715
31507,Kampong Cham,40.84867134
40409,Kampong Chhnang,9.294174864
40608,Kampong Chhnang,21.47846193
40806,Kampong Chhnang,35.67234773
31505,Kampong Cham,35.44510043
150406,Pursat,50.22869165
60118,Kampong Chhnang,39.76761479
40408,Kampong Chhnang,15.01741881
40612,Kampong Chhnang,8.454648812
100105,Kratie,20.01996014
80911,Phnom Penh,29.11381162
31205,Kampong Cham,49.52237043
80316,Phnom Penh,28.13012608
50507,Phnom Penh,30.22653435
141202,Kampong Cham,28.19042259
50511,Phnom Penh,31.73413405
31104,Kampong Cham,25.34648135
80710,Phnom Penh,18.22851991
31103,Kampong Cham,28.87681579
31407,Phnom Penh,36.6146376
80904,Phnom Penh,22.0377252
31102,Kampong Cham,30.08219911
31101,Kampong Cham,21.75658985
80704,Phnom Penh,27.21782315
80914,Phnom Penh,31.3352451
80304,Phnom Penh,28.22667703
31405,Phnom Penh,32.50555876
141210,Kampong Cham,23.51369682
31105,Kampong Cham,22.12904517
141203,Kampong Cham,20.66474233
40701,Kampong Spueu,37.0096375
31108,Kampong Cham,23.19631558
31409,Phnom Penh,34.68398663
80317,Phnom Penh,30.93929941
40704,Kampong Spueu,37.78316265
141204,Kampong Cham,24.64613692
80708,Phnom Penh,30.76963004
31003,Kratie,87.89024105
141207,Kampong Cham,20.03573549
30804,Kampong Cham,16.87988403
40706,Phnom Penh,36.98786779
31206,Kampong Cham,58.83883181
31008,Kratie,73.08632493
31207,Kampong Cham,47.07100359
31601,Kampong Cham,33.01764567
31005,Kampong Cham,70.19552932
31604,Kampong Cham,24.298224
80707,Phnom Penh,32.17392856
31209,Kampong Cham,51.86909122
80711,Phnom Penh,27.22189257
30109,Phnom Penh,29.88772329
40707,Kampong Spueu,41.45933978
80903,Phnom Penh,32.44117101
30803,Kampong Cham,17.49990916
30710,Phnom Penh,34.43038777
31406,Kampong Cham,37.23164491
80905,Phnom Penh,32.20421037
31401,Kampong Cham,32.2294998
30404,Kampong Cham,46.66419694
30807,Kampong Cham,13.04719518
31204,Kampong Cham,41.49904459
31013,Kratie,76.15679684
30806,Kampong Cham,12.97193007
30702,Phnom Penh,36.82074541
30708,Phnom Penh,39.25347484
31106,Kampong Cham,16.37858976
31614,Kampong Cham,21.34312873
31408,Kampong Cham,33.68366916
40505,Phnom Penh,37.10200074
31107,Kampong Cham,14.86028983
30808,Kampong Cham,22.18148154
31410,Kampong Cham,27.1161863
40705,Kampong Chhnang,41.32038204
50405,Kampong Spueu,61.04445521
30805,Kampong Cham,17.34425461
30107,Phnom Penh,33.44916935
40708,Kampong Chhnang,43.59631345
30801,Kampong Cham,14.37628729
30103,Phnom Penh,36.28655959
31016,Kratie,65.86414026
31413,Kampong Cham,31.17148254
31404,Kampong Cham,22.64262907
31618,Kampong Cham,34.90484586
30608,Kampong Cham,10.63124068
31411,Kampong Cham,28.82249342
90702,Koh Kong,80.90260241
30401,Kampong Cham,46.26652707
40507,Kampong Chhnang,36.50970603
30802,Kampong Cham,9.372146709
50406,Kampong Spueu,71.75743049
40506,Kampong Chhnang,36.55774653
30703,Kampong Cham,35.7021126
50801,Kampong Spueu,44.65024952
30406,Kampong Cham,56.15688053
40504,Kampong Chhnang,38.90439407
31613,Kampong Cham,32.0496027
30705,Phnom Penh,39.00978794
30704,Kampong Cham,23.96353319
31619,Kampong Cham,24.44896305
31007,Kratie,67.04540919
40709,Kampong Chhnang,35.72566975
31004,Kratie,69.70512827
30605,Kampong Cham,5.489457885
30604,Kampong Cham,11.5026111
30102,Phnom Penh,40.5432769
31608,Kampong Cham,16.24419762
30701,Kampong Cham,26.05574628
30606,Kampong Cham,7.108321925
31014,Kratie,77.16575475
40703,Kampong Chhnang,40.34955578
40503,Kampong Chhnang,34.25322349
30709,Kampong Cham,16.52688898
31623,Kampong Cham,24.69654821
30503,Kampong Cham,3.539491843
30707,Kampong Cham,39.55245599
30502,Kampong Cham,1.112628345
30711,Kampong Cham,30.95421171
30504,Kampong Cham,1.535932672
40804,Kampong Spueu,50.53196205
30101,Kampong Chhnang,41.64513146
40510,Kampong Chhnang,31.36210576
31622,Kampong Cham,6.757881017
31612,Kampong Cham,33.80639265
31606,Kampong Cham,11.30666374
30403,Kampong Cham,45.06452446
30501,Kampong Cham,1.204564723
40808,Kampong Chhnang,44.71505468
31605,Kampong Cham,6.424081465
90501,Koh Kong,22.82189595
30706,Kampong Cham,20.6265453
40803,Kampong Chhnang,33.34088256
31006,Kratie,58.98020477
31314,Kampong Cham,26.48558576
30601,Kampong Cham,4.430991949
30615,Kampong Cham,10.27705054
31311,Kampong Cham,35.7979771
40702,Kampong Chhnang,28.07678453
30106,Kampong Chhnang,42.87742295
90503,Koh Kong,13.646313
50503,Kampong Spueu,14.8796099
200416,Svay Rieng,49.02122923
200403,Prey Veng,47.35194492
120705,Phnom Penh,5.092457131
141007,Prey Veng,10.80099974
141107,Prey Veng,7.378459762
140206,Prey Veng,34.44155694
80815,Phnom Penh,15.06007837
120509,Phnom Penh,11.72273105
50714,Kampong Spueu,19.45784056
80315,Phnom Penh,7.757487058
90403,Koh Kong,6.144093833
141010,Prey Veng,15.55451188
140202,Prey Veng,29.1541972
120710,Phnom Penh,2.490397516
141002,Prey Veng,21.13117415
120706,Phnom Penh,2.695314697
90402,Koh Kong,1.886188787
140804,Prey Veng,15.16592162
50515,Kampong Spueu,20.33325341
90605,Kampong Spueu,75.29564024
120511,Phnom Penh,8.525706928
80301,Kandal,21.03356389
120704,Phnom Penh,4.219433425
50505,Kampong Spueu,14.40909051
50514,Kampong Spueu,16.90742531
80309,Phnom Penh,7.900095294
120712,Phnom Penh,5.517316198
90703,Koh Kong,63.23293758
50806,Kampong Spueu,22.91596559
140803,Prey Veng,23.32417958
50401,Kampong Spueu,31.6801329
120711,Phnom Penh,6.619863881
50402,Kampong Spueu,43.75551452
50508,Kampong Spueu,16.50552496
140203,Prey Veng,42.83223754
140808,Prey Veng,16.60298256
80602,Phnom Penh,16.03422935
90304,Koh Kong,42.7483242
120701,Phnom Penh,7.612784732
90303,Koh Kong,22.71788198
80816,Phnom Penh,22.0714737
80308,Phnom Penh,10.01333398
90401,Koh Kong,7.069134775
80812,Phnom Penh,16.8706257
140208,Prey Veng,27.99605069
141008,Prey Veng,18.8777521
50513,Kampong Spueu,24.6452479
120503,Phnom Penh,11.32391675
120703,Phnom Penh,8.609615942
80305,Phnom Penh,6.756670461
80303,Phnom Penh,22.05422276
120709,Phnom Penh,8.423746013
50502,Kampong Spueu,20.82869549
140205,Prey Veng,27.57689841
90703,Koh Kong,64.30388613
120708,Phnom Penh,7.736589674
80307,Phnom Penh,11.34048192
80908,Phnom Penh,15.75943339
50808,Kampong Spueu,25.7263305
140406,Prey Veng,37.06062748
140810,Prey Veng,22.49451363
80809,Phnom Penh,22.94490588
140401,Prey Veng,22.16204736
80314,Phnom Penh,22.56750758
140204,Prey Veng,50.24045653
80909,Phnom Penh,11.57731397
140807,Prey Veng,16.57386859
80318,Phnom Penh,17.15076176
80901,Phnom Penh,19.29276
140801,Prey Veng,26.37020198
50501,Kampong Spueu,26.88045817
140811,Prey Veng,22.77105191
80702,Phnom Penh,10.6646306
50512,Kampong Spueu,22.71473792
80313,Phnom Penh,21.10244678
140403,Prey Veng,27.85586383
140407,Prey Veng,37.26796824
80912,Phnom Penh,14.65158459
140402,Prey Veng,33.23683581
141206,Prey Veng,25.02652329
140201,Kampong Cham,44.26476322
50506,Kampong Spueu,26.27797039
80902,Phnom Penh,21.019042
80311,Phnom Penh,15.64938247
80701,Phnom Penh,14.24455518
50504,Phnom Penh,28.96855817
140405,Kampong Cham,34.01299146
140404,Kampong Cham,38.13485235
50805,Kampong Spueu,25.7475228
80302,Phnom Penh,27.5662872
140802,Prey Veng,23.83810818
50509,Phnom Penh,32.25941866
90704,Koh Kong,40.01503303
80312,Phnom Penh,24.11744588
31208,Kampong Cham,62.27699724
80910,Phnom Penh,20.1413247
50404,Kampong Spueu,43.36071189
140408,Kampong Cham,30.30020545
31402,Phnom Penh,28.01854764
80310,Phnom Penh,21.06160552
141201,Kampong Cham,29.07129241
31002,Svay Rieng,88.88066575
50802,Kampong Spueu,30.79080917
141209,Prey Veng,28.69587062
141211,Prey Veng,28.4718408
50804,Kampong Spueu,30.80142448
31414,Phnom Penh,31.60556242
31010,Kratie,82.90453223
80913,Phnom Penh,25.71388735
80703,Phnom Penh,19.51592466
31203,Kampong Cham,51.20727252
141208,Kampong Cham,26.2344388
80906,Phnom Penh,24.5456676
80306,Phnom Penh,25.11911607
80709,Phnom Penh,23.73255098
140805,Prey Veng,32.1993635
31001,Kratie,84.18143586
140809,Prey Veng,29.58170439
31015,Kampong Cham,78.45552821
31403,Phnom Penh,32.23844114
80907,Phnom Penh,24.97117102
50807,Kampong Spueu,33.99855256
141205,Kampong Cham,30.71094717
50510,Phnom Penh,35.522335
31202,Kampong Cham,39.83697974
31412,Phnom Penh,28.72762437
81104,Kandal,4.63820741
140506,Prey Veng,32.31856766
50610,Kampong Spueu,27.8408971
80202,Kandal,13.71280257
81103,Kandal,1.110172495
80210,Kandal,6.117500945
141106,Prey Veng,5.583276105
80611,Prey Veng,8.375390336
80603,Prey Veng,15.98382408
200401,Svay Rieng,41.32166106
50204,Kampong Spueu,4.025642649
80201,Prey Veng,20.55714464
80808,Kampong Spueu,17.72323594
50203,Kampong Spueu,2.275063673
141103,Prey Veng,1.074024998
80802,Kandal,19.15901217
80807,Kandal,22.53169789
120507,Kandal,12.85941139
200409,Svay Rieng,41.40029113
120508,Kandal,10.65115443
200413,Prey Veng,42.32721068
90302,Koh Kong,18.47929319
80813,Kampong Spueu,20.78751905
120515,Kandal,4.05020402
80203,Kandal,16.90370656
141006,Prey Veng,22.78432408
50713,Kampong Spueu,13.20049485
120504,Kandal,14.85057739
50715,Kampong Spueu,6.453649718
120607,Kandal,1.537035863
120510,Kandal,8.635716611
50201,Kampong Spueu,4.548656163
80615,Prey Veng,19.25740556
80206,Kandal,13.55904765
141102,Prey Veng,1.946580167
120501,Kandal,5.38264972
120606,Kandal,3.325293571
141004,Prey Veng,13.62939143
50711,Kampong Spueu,9.261336838
120603,Kandal,2.153461876
120604,Kandal,4.003661555
80608,Prey Veng,14.76897222
80811,Kampong Spueu,21.59423731
50605,Kampong Spueu,38.68772916
140207,Prey Veng,35.2990789
80801,Phnom Penh,19.24489556
120112,Kandal,4.66399852
80806,Phnom Penh,15.13748393
120111,Phnom Penh,4.515335149
80205,Kandal,7.417677148
141105,Prey Veng,10.19066892
80208,Kandal,11.48962692
80614,Kandal,18.34147877
120109,Phnom Penh,4.38862273
120602,Kandal,5.16972087
120110,Phnom Penh,4.547971386
80803,Phnom Penh,20.66231784
141108,Prey Veng,6.042181762
80209,Kandal,6.543179195
80804,Kampong Spueu,18.44466836
120108,Phnom Penh,3.753285159
120605,Kandal,5.02211198
120104,Phnom Penh,3.601386562
120601,Phnom Penh,5.95096464
120103,Phnom Penh,2.978977566
120106,Phnom Penh,3.39704836
80212,Kandal,5.440789679
120505,Phnom Penh,9.958019139
120101,Phnom Penh,4.35829941
120102,Phnom Penh,3.46982597
50707,Kampong Spueu,11.2847912
120105,Phnom Penh,2.876603066
50708,Kampong Spueu,16.37356784
120516,Phnom Penh,8.176504659
120107,Phnom Penh,2.942008489
120410,Phnom Penh,3.370086565
80610,Kandal,20.76889789
120308,Phnom Penh,2.303156755
120608,Kandal,4.75915967
120409,Phnom Penh,2.573822515
80805,Phnom Penh,16.13000916
200410,Prey Veng,43.21709714
120406,Phnom Penh,3.179843944
120207,Phnom Penh,3.133051375
120405,Phnom Penh,2.553555308
120403,Phnom Penh,2.04125136
120301,Phnom Penh,1.857890771
120302,Phnom Penh,1.811680872
120304,Phnom Penh,1.720159009
80605,Kandal,15.27602716
120204,Phnom Penh,2.217253701
120303,Phnom Penh,1.648604522
90603,Krong Preah Sihanouk,78.74261699
120402,Phnom Penh,1.746883867
120307,Phnom Penh,1.953019235
120208,Phnom Penh,2.78577533
120206,Phnom Penh,1.995924032
120203,Phnom Penh,1.914060533
120506,Phnom Penh,8.43392189
141005,Prey Veng,10.41918816
120305,Phnom Penh,1.239201113
120306,Phnom Penh,1.137805639
50705,Kampong Spueu,9.87213247
120707,Phnom Penh,4.661535789
120401,Phnom Penh,1.487328334
120201,Phnom Penh,1.417774869
120404,Phnom Penh,2.323035667
120202,Phnom Penh,1.412178646
141001,Prey Veng,17.2015885
120211,Phnom Penh,1.330399102
120205,Phnom Penh,2.208320773
120209,Phnom Penh,1.699806806
80601,Phnom Penh,6.712157469
80607,Kandal,13.03800487
90502,Koh Kong,10.47520022
120502,Phnom Penh,12.83804352
120210,Phnom Penh,0.257424725
120408,Phnom Penh,2.038029203
50703,Kampong Spueu,10.26679465
140806,Prey Veng,18.20900469
141003,Prey Veng,23.8705745
80810,Phnom Penh,18.8008438
141104,Prey Veng,8.500399082
120407,Phnom Penh,1.57134612
120702,Phnom Penh,1.301472274
80613,Phnom Penh,10.95317016
80609,Kandal,17.64754105
80814,Kampong Spueu,22.49577424
50112,Kampong Spueu,23.26615506
210202,Kandal,24.08011914
140501,Svay Rieng,27.1702099
200305,Svay Rieng,21.24336093
50603,Kampong Spueu,36.70208397
140105,Prey Veng,23.18083169
210211,Kampong Spueu,29.45570554
140706,Prey Veng,22.5141398
140702,Prey Veng,22.08466985
140108,Prey Veng,31.02678706
81005,Kandal,24.25234066
140508,Svay Rieng,33.59949747
50602,Kampong Spueu,30.70151071
90101,Krong Preah Sihanouk,60.95053916
50110,Kampong Spueu,21.19988536
210204,Kandal,25.82939897
80501,Prey Veng,24.09988232
90203,Koh Kong,50.40934476
90802,Kampot,64.37786681
81014,Kandal,26.70554006
81004,Kandal,22.68681213
200404,Svay Rieng,25.41355273
81016,Kandal,21.49119754
200405,Svay Rieng,25.14698801
50609,Kampong Spueu,20.12799736
140104,Prey Veng,19.21094349
50302,Kampong Spueu,24.70588336
140705,Prey Veng,18.51659535
210208,Kandal,26.76728639
210207,Kandal,22.00024556
210210,Kandal,19.86843813
210212,Kampong Spueu,28.26039983
50311,Kampong Spueu,19.11041197
50312,Kampong Spueu,17.0602045
80207,Prey Veng,19.62295646
140505,Svay Rieng,31.81537381
50607,Kampong Spueu,23.60643281
80104,Kandal,16.14817823
81006,Prey Veng,28.26762369
140101,Prey Veng,23.56767753
50613,Kampong Spueu,42.63795719
80125,Kandal,23.80648109
50306,Kampong Spueu,20.51024276
81008,Kandal,17.48741354
81015,Kandal,21.23406833
80116,Kandal,14.29989427
81010,Kandal,16.53651884
80115,Kandal,17.75800399
90105,Koh Kong,65.38995367
50304,Kampong Spueu,15.54108757
50704,Kampong Spueu,13.38978371
50600,Kampong Spueu,53.3758433
50301,Kampong Spueu,25.35542485
140503,Prey Veng,30.20815534
80101,Kandal,12.8843936
200415,Svay Rieng,26.98531666
80128,Kandal,18.46690139
50313,Kampong Spueu,22.7120327
200412,Svay Rieng,31.20147601
50604,Kampong Spueu,17.59270885
200411,Svay Rieng,32.1788599
200407,Svay Rieng,30.75691555
140109,Prey Veng,15.81038888
140502,Svay Rieng,35.56153819
80127,Kandal,20.27436189
80109,Kandal,14.90480857
140701,Prey Veng,12.50466858
80108,Kandal,17.69995314
80122,Kandal,12.62885762
50712,Kampong Spueu,11.20807493
81012,Kandal,16.07624101
200402,Svay Rieng,30.79129403
50709,Kampong Spueu,12.33134745
50601,Kampong Spueu,45.45505799
140704,Prey Veng,14.21043859
80107,Kandal,10.54525509
141011,Prey Veng,18.17959841
200408,Svay Rieng,34.69876686
80113,Kandal,12.88321646
90301,Koh Kong,31.85969987
50710,Kampong Spueu,6.511461403
80105,Kandal,8.762199177
81009,Kandal,10.72908347
140504,Prey Veng,23.90898917
80102,Kandal,17.16773325
50305,Kandal,23.07920538
90803,Kampong Spueu,62.00720643
50308,Kampong Spueu,18.64553826
80110,Kandal,12.62936273
50608,Kampong Spueu,23.61853874
90302,Koh Kong,20.76861144
80103,Kandal,14.97102628
50606,Kampong Spueu,12.62358872
140708,Prey Veng,8.001374732
80119,Kandal,9.534434272
80612,Prey Veng,9.965003818
80211,Prey Veng,16.41984564
50702,Kampong Spueu,6.582511593
80604,Prey Veng,11.67865236
80126,Kandal,10.86168501
120512,Kandal,15.43006265
81011,Kandal,11.92339682
80118,Kampong Spueu,17.75160995
80117,Kampong Spueu,21.86866657
50205,Kampong Spueu,1.766330086
50611,Kampong Spueu,18.02826403
80204,Kandal,18.73316826
81013,Kandal,7.813376059
80114,Kandal,6.803857621
80106,Kandal,20.15526578
81002,Kandal,10.31456329
81105,Kandal,5.812194072
90301,Koh Kong,39.31228765
50706,Kampong Spueu,11.54436618
120514,Kandal,11.51651489
200406,Svay Rieng,38.69821997
50202,Kampong Spueu,4.06292779
141009,Prey Veng,13.41919974
81106,Kandal,4.196605448
200414,Prey Veng,39.9979194
80124,Kandal,7.831318082
140507,Prey Veng,27.5887719
81101,Kandal,3.31806714
50701,Kampong Spueu,6.240186558
120513,Kandal,15.84853852
81102,Kandal,2.324826596
141101,Prey Veng,5.484801992
80606,Prey Veng,13.69116735
200602,Svay Rieng,1.7788943
140903,Prey Veng,46.69522403
210609,Takeo,22.53054668
80410,Takeo,28.95995403
140911,Svay Rieng,40.30628726
80402,Takeo,35.56031552
140313,Svay Rieng,28.25063107
140308,Svay Rieng,36.65727512
90103,Krong Preah Sihanouk,46.99689828
140901,Prey Veng,45.31875524
90801,Krong Preah Sihanouk,57.96296732
200705,Svay Rieng,20.64955483
210709,Takeo,11.5407009
200704,Svay Rieng,27.41439476
50108,Takeo,24.02343065
210702,Takeo,12.82886784
200709,Svay Rieng,12.7746606
90607,Krong Preah Sihanouk,56.07787857
210608,Takeo,23.3144018
210605,Takeo,15.2794866
200506,Svay Rieng,4.689018481
200507,Svay Rieng,16.87121976
210906,Takeo,33.91245548
200505,Svay Rieng,10.07312868
140310,Svay Rieng,22.16175466
90601,Krong Preah Sihanouk,53.42232201
140301,Svay Rieng,29.58147615
70302,Kampot,44.74284754
210602,Takeo,25.18158704
50107,Takeo,18.33038145
200514,Svay Rieng,10.58386576
210701,Takeo,15.95787469
80504,Prey Veng,42.32940916
210703,Takeo,15.79130181
70404,Takeo,40.33729274
140904,Prey Veng,40.19185948
