"","(Intercept)","agr_gdp","dev_agri","dev_env","fdi","for_rem","gdp","pop_den","time","df","logLik","AICc","delta","weight"
"241",6.65772634656893,NA,NA,NA,NA,7.16486004654057e-05,-0.0242075494754182,-7.9423267642773,-0.000755318298570573,5,-69.3216102191899,152.64322043838,0,0.10369970956619
"225",12.2942635245646,NA,NA,NA,NA,NA,-0.0235385233624565,-7.24144472475116,-0.000721600755169535,4,-71.1274900183764,152.754980036753,0.111759598373084,0.09806392042991
"226",12.6813512000192,-0.15479254954764,NA,NA,NA,NA,-0.0295571491535732,-7.49977358206713,-0.00115107247775727,5,-69.526551784245,153.05310356849,0.409883130110131,0.0844836267625796
"253",4.43302421116325,NA,NA,-0.00946801153830935,0.00123983335580751,9.25615815801138e-05,-0.0274197280278348,-7.69757585848867,-0.000779291733152841,7,-65.4194131902675,153.45421099592,0.810990557539782,0.0691310539496856
"249",4.67480715503984,NA,NA,NA,0.000813487506303127,9.47418964713358e-05,-0.0259675363293489,-8.06509889408932,-0.000661132272064904,6,-67.8318310490869,153.663662098174,1.0204416597941,0.06225746729039
"229",12.0754080222771,NA,NA,-0.00567004531134107,NA,NA,-0.0239283558409888,-7.04864815854381,-0.000845925514812159,5,-69.9995401699642,153.999080339928,1.35585990154854,0.0526448997870108
"237",11.6489307228752,NA,NA,-0.00944560628279532,0.000956117538795985,NA,-0.0259805811501236,-6.72644438850764,-0.000792430951473976,6,-68.1017268720145,154.203453744029,1.56023330564912,0.0475310252839828
"242",7.81048713631267,-0.123407849611191,NA,NA,NA,6.094022275808e-05,-0.0288701932941591,-8.04622496423388,-0.00109943859255636,6,-68.2840623133016,154.568124626603,1.92490418822334,0.0396086377869743
"121",5.45936613154852,NA,NA,NA,0.00104373354744386,9.53216762720917e-05,-0.0268998931477973,-8.72923212741263,NA,5,-70.370945785664,154.741891571328,2.09867113294814,0.0363125622191107
"230",12.4974292082817,-0.157241698885393,NA,-0.00579500506330083,NA,NA,-0.0300636091479603,-7.33506951800954,-0.00128704864872446,6,-68.3745455591645,154.749091118329,2.10587067994922,0.0361820802136333
"245",6.80899009388544,NA,NA,-0.00528196137270825,NA,6.72446699777052e-05,-0.0244744725164967,-7.72810060201008,-0.000867461284468376,6,-68.3825639113236,154.765127822647,2.12190738426744,0.0358931195948324
"233",12.144384309126,NA,NA,NA,0.000472912136563674,NA,-0.0243663989493828,-7.13848682005449,-0.000666189351062261,5,-70.5318234676659,155.063646935332,2.42042649695208,0.0309163776968691
"97",13.3254718425282,NA,NA,NA,NA,NA,-0.0240378085864882,-8.05183496003513,NA,3,-74.0331299203871,155.478024546657,2.83480410827678,0.0251308772741071
"125",5.3159384844635,NA,NA,-0.00741094683054728,0.00145680617132785,9.33670152044687e-05,-0.0282291875475233,-8.45920734694135,NA,6,-68.9011830955886,155.802366191177,3.15914575279749,0.0213686829816273
"227",12.3835530399621,NA,-0.000244533257818803,NA,NA,NA,-0.0239729508100613,-7.29988823068308,-0.0006821480915003,5,-71.0015321645531,156.003064329106,3.35984389072632,0.019328435801142
"234",12.5208330495347,-0.149839249939613,NA,NA,0.00044772922791314,NA,-0.0301329537740333,-7.38851296026765,-0.00107716197419668,6,-69.0038784102561,156.007756820512,3.36453638213237,0.0192831397003674
"113",8.50418030617428,NA,NA,NA,NA,6.15337089273448e-05,-0.0246975641910456,-8.66697458306278,NA,4,-72.7680661279021,156.036132255804,3.39291181742448,0.0190114875775304
"238",12.0704990487192,-0.140027557369508,NA,-0.00896763856236475,0.000873838722637201,NA,-0.0312159260602767,-7.01678135663644,-0.00117204946675765,7,-66.7785998709305,156.172584357246,3.5293639188659,0.0177576668004794
"105",13.0176117905841,NA,NA,NA,0.000660762215384801,NA,-0.0251239536742027,-7.83161523421056,NA,4,-72.8693301916065,156.238660383213,3.59543994483323,0.0171805742604961
"243",6.73749698031517,NA,-0.000244629536052741,NA,NA,7.1695751216052e-05,-0.0246363921395457,-7.99715339835488,-0.000724026084642531,6,-69.2075174030418,156.415034806084,3.77181436770385,0.0157303525698427
"109",12.6735063020949,NA,NA,-0.00746152695740883,0.00111406284596919,NA,-0.0265713628298577,-7.54296817081589,NA,5,-71.35387793411,156.70775586822,4.06453542984013,0.0135886053493911
"250",5.91304048409112,-0.104083585193199,NA,NA,0.000739197045403522,8.23154667381168e-05,-0.0296830237457939,-8.11557677071034,-0.000952889509968856,7,-67.0683317939593,156.752048203303,4.10882776492349,0.013290977639491
"228",12.6762745776393,-0.156226536764355,2.71724197963771e-05,NA,NA,NA,-0.0295644358117562,-7.49671310341137,-0.00115915931787916,6,-69.5251048480068,157.050209696014,4.4069892576338,0.0114501712440759
"246",8.02033398715187,-0.127003228075976,NA,-0.00541975332022806,NA,5.61451907904885e-05,-0.0293030152315572,-7.84947991623632,-0.00122560394929741,7,-67.305680662918,157.226745941221,4.58352550284093,0.0104828078025496
"99",13.4388269266975,NA,-0.000550170611035667,NA,NA,NA,-0.0248774005887232,-8.11841556811975,NA,4,-73.3754457442839,157.250891488568,4.60767105018797,0.0103570121158232
"123",5.63090314394272,NA,-0.000631020507347265,NA,0.00106294836481853,9.49652033209984e-05,-0.0278544301196768,-8.81571563236371,NA,6,-69.6732576643192,157.346515328638,4.7032948902586,0.00987347500897156
"231",12.1711730315535,NA,-0.000297592197012629,-0.00580512867569447,NA,NA,-0.0244530880427603,-7.10938513809614,-0.000805973606127971,6,-69.8114508492974,157.622901698595,4.97968126021493,0.00859910978399252
"254",5.60257967264859,-0.0905192851871507,NA,-0.00902346336736976,0.00113428279413161,8.10374514070735e-05,-0.0305299162419888,-7.76392403380474,-0.00103021480695148,8,-64.8544511787227,157.708902357445,5.06568191906558,0.00823718249298631
"251",4.74059656139381,NA,-0.000324865803295554,NA,0.000837951464365881,9.52927508930287e-05,-0.026570649158355,-8.14285972753272,-0.000617812153627502,7,-67.6532124772274,157.921809569839,5.2785891314596,0.00740536508342451
"101",13.2774792284053,NA,NA,-0.00266601846805299,NA,NA,-0.0242549642058799,-8.00296821849131,NA,4,-73.7581096583582,158.016219316716,5.37299887833663,0.00706391814319421
"255",4.46506475162634,NA,-0.000488872876345388,-0.00979260651824135,0.00129238423285232,9.38892334075913e-05,-0.0283452709489665,-7.79788034195172,-0.000728294874111573,8,-65.0399541206549,158.07990824131,5.43668780292995,0.00684251540332045
"239",11.7728444112333,NA,-0.000421217113919966,-0.00971378234129952,0.00100415898789744,NA,-0.0267884635913735,-6.80544189071923,-0.000731955991590885,7,-67.7671535392796,158.149691693944,5.50647125556409,0.00660788535562454
"115",8.65996223786556,NA,-0.000564326705833111,NA,NA,6.12108178419342e-05,-0.0255367397345705,-8.74453924362695,NA,5,-72.1338830256709,158.267766051342,5.62454561296209,0.00622906666166172
"107",13.1317421457767,NA,-0.00059611506646304,NA,0.000685711843268614,NA,-0.0260709986132115,-7.89809922132547,NA,5,-72.1437595972016,158.287519194403,5.64429875602337,0.00616784765380545
"127",5.48692335868009,NA,-0.000808014833098685,-0.008118897534864,0.00152174252005302,9.33483827103137e-05,-0.0295267365748102,-8.56354862497971,NA,7,-67.8443153731377,158.30401536166,5.66079492328026,0.00611718395697788
"98",13.2641399401513,0.00898291347557119,NA,NA,NA,NA,-0.0236883778462245,-8.00571292344478,NA,4,-74.0222057890355,158.544411578071,5.90119113969121,0.00542438074581468
"122",5.00290540021026,0.0268280335985198,NA,NA,0.00102953965311668,9.90725592123448e-05,-0.025880938015085,-8.64525820729734,NA,6,-70.2732477231679,158.546495446336,5.90327500795595,0.00541873184177264
"111",12.8032078068348,NA,-0.000748000844555046,-0.00814013893829061,0.00118650870321224,NA,-0.027831736519945,-7.6164145003574,NA,6,-70.2901211811865,158.580242362373,5.93702192399329,0.00532806617036172
